network_size,actual_nodes,connectivity,trial,wave_type,has_wave_comprehensive,wave_speed_comprehensive,has_wave_simple,wave_speed_simple,mean_rotation_angle,mean_rotation_velocity,rotation_quality,circularity,wave_rotation_correspondence
100,9,4,0,0,False,12.812283571361888,True,19.276956431126667,0.0,9.6,0.0,0.0,0.3351099848134376
100,9,4,1,1,False,3.1123916504885525,True,2.6855941618335866,180.0,8.4,0.0,0.0,0.5154803391404045
100,9,4,2,2,False,3.491761395438235,True,1.123075883650253,180.0,1.8,0.0,0.0,0.2315793853019189
100,9,4,3,3,False,5.452586738844202,True,2.8718686568879783,180.0,3.3,0.0,0.0,0.06936818764399305
100,9,4,4,0,False,10.524932168771063,True,75.90355004908199,180.0,7.5,0.0,0.0,0.8201515404169882
100,9,4,5,1,False,2.992933428742688,True,1.1387382868654692,0.0,10.8,0.0,0.0,0.809236410155883
100,9,4,6,2,False,4.118459310064903,True,3.394965997506895,180.0,14.4,0.0,0.0,0.6184352363456657
100,9,4,7,3,False,8.645775891313178,True,23.53796247580886,0.0,19.2,0.0,0.0,0.1015013871626226
100,9,4,8,0,True,9.779564369259058,True,9.779564369259058,0.0,15.0,0.0,0.0,0.21067503661187137
100,9,4,9,1,False,3.437723986910192,True,1.5213769030617446,0.0,4.2,0.0,0.0,0.46817805263939105
100,9,4,10,2,False,3.66513648733342,True,2.9070013190936006,0.0,2.4,0.0,0.0,0.09553442492278098
100,9,4,11,3,False,7.606404445457736,True,6.217352875942721,180.0,12.6,0.0,0.0,0.33918942616967845
100,9,4,12,0,False,13.984393277694814,True,31.777144918030032,180.0,5.4,0.0,0.0,0.7094989401718903
100,9,4,13,1,True,4.755790287877522,True,4.755790287877522,180.0,13.8,0.0,0.0,0.48740633364359115
100,9,4,14,2,False,4.40574474883666,True,3.2000284249290125,180.0,12.0,0.0,0.0,0.5789444156946826
100,9,4,15,3,False,11.95768528745158,True,18.11553898703254,180.0,15.6,0.0,0.0,0.07461067100225181
100,9,4,16,0,False,12.445553983682462,True,75.94541188309695,180.0,11.7,0.0,0.0,0.7330151174224082
100,9,4,17,1,False,6.743787285516969,True,0.9742038477650663,0.0,7.2,0.0,0.0,0.7616394535916771
100,9,4,18,2,False,3.4728630486898453,True,3.2628734459803495,180.0,15.6,0.0,0.0,0.6540427994327276
100,9,4,19,3,False,6.933865309290048,True,6.073407617814889,180.0,10.8,0.0,0.0,0.280120796534707
100,9,4,20,0,False,12.133982437032174,True,53.239129179446444,0.0,18.6,0.0,0.0,0.48217635117588065
100,9,4,21,1,False,10.878699151463952,True,23.225648745528446,180.0,10.8,0.0,0.0,0.36518477100675034
100,9,4,22,2,False,2.965405685209482,True,2.9326279121797816,0.0,21.6,0.0,0.0,0.7609201979734216
100,9,4,23,3,False,13.994052476916012,True,14.057372162969468,0.0,10.8,0.0,0.0,0.13104249884502822
100,9,4,24,0,False,15.673301284217022,True,30.402739193644468,0.0,15.6,0.0,0.0,0.3217795168957541
100,9,4,25,1,False,8.954893506108956,True,17.429273125490568,180.0,6.6,0.0,0.0,0.4506700252184352
100,9,4,26,2,False,3.6353862163682784,True,2.6692798868154206,180.0,7.2,0.0,0.0,0.45907301901442243
100,9,4,27,3,False,17.200740758896913,True,16.961139829851717,180.0,18.6,0.0,0.0,0.04608570416991915
100,9,4,28,0,False,14.03975564433026,True,18.47459452184537,0.0,16.8,0.0,0.0,0.04747310478093668
100,9,4,29,1,False,4.301193773280021,True,2.835878742230478,0.0,16.5,0.0,0.0,0.7066718528729583
100,9,4,30,2,True,2.424125012295835,True,2.424125012295835,180.0,13.2,0.0,0.0,0.6896946215647163
100,9,4,31,3,False,13.626248780370474,True,17.956458657631494,180.0,6.6,0.0,0.0,0.46246320839328203
100,9,4,32,0,False,13.545473095831712,True,26.641479088974535,0.0,19.8,0.0,0.0,0.14731397929537537
100,9,4,33,1,False,5.361644717303704,True,5.172153081528991,180.0,21.6,0.0,0.0,0.6136169499846381
100,9,4,34,2,False,3.4399708882643076,True,3.3505238516015257,180.0,4.8,0.0,0.0,0.1778384033678863
100,9,4,35,3,False,10.3901446352308,True,15.103778396772928,180.0,18.0,0.0,0.0,0.0874891551201496
100,9,4,36,0,False,10.034759953581254,True,17.349368531563044,180.0,7.8,0.0,0.0,0.3797060955840857
100,9,4,37,1,False,7.348488249187102,True,3.116737790582114,180.0,13.8,0.0,0.0,0.6315202340786011
100,9,4,38,2,False,4.405894737896086,True,2.7624300503071435,180.0,19.2,0.0,0.0,0.7484404008102071
100,9,4,39,3,False,9.949800181576732,True,24.438297300039622,180.0,6.0,0.0,0.0,0.6057598136396101
100,9,4,40,0,False,11.669703600841409,True,33.03363445417534,180.0,19.2,0.0,0.0,0.2648415067935801
100,9,4,41,1,False,12.34540928497325,True,15.863302805846462,0.0,15.0,0.0,0.0,0.027971821787010076
100,9,4,42,2,False,3.5942686713619043,True,1.7754840188342103,180.0,4.8,0.0,0.0,0.45996856998764624
100,9,4,43,3,False,13.698668645225517,True,15.656121425128479,180.0,20.4,0.0,0.0,0.13156929773240186
100,9,4,44,0,False,10.496161047195326,True,25.741637089485927,180.0,13.2,0.0,0.0,0.32206239970429773
100,9,4,45,1,False,9.618659325600568,True,7.969019580315287,0.0,19.2,0.0,0.0,0.4133745196967113
100,9,4,46,2,False,4.348222947541844,True,1.9378241294735017,180.0,15.0,0.0,0.0,0.7711838173900917
100,9,4,47,3,False,5.324769025521519,True,3.106339697507876,180.0,10.2,0.0,0.0,0.5331038034274275
100,9,4,48,0,False,12.43345711645891,True,24.977190954573885,180.0,16.2,0.0,0.0,0.21315662266120694
100,9,4,49,1,False,12.271599663428928,True,7.5616903270298454,180.0,17.4,0.0,0.0,0.39413635631387095
100,100,8,0,0,False,19.541584102988175,True,25.54223996301458,180.0,13.8,0.7456982684971383,0.0,0.29846394038630103
100,100,8,1,1,False,23.656237704052806,True,24.21427695726981,180.0,27.6,0.7662587321904247,0.0,0.06534343894281869
100,100,8,2,2,False,5.175973773414471,True,2.634099385508514,180.0,10.8,0.738085569142839,0.0,0.6078487571142532
100,100,8,3,3,False,12.688098847124873,True,23.693580075907263,180.0,15.0,0.7552825414329147,0.0,0.2246775836929572
100,100,8,4,0,False,22.228203700143922,True,28.962058399415596,180.0,18.0,0.7378337960246939,0.0,0.23342372061631497
100,100,8,5,1,False,21.72721631049916,True,43.451547114044146,180.0,18.6,0.7466591328285024,0.0,0.40049842864239293
100,100,8,6,2,False,5.921697281662765,True,2.5643064140890495,0.0,19.2,0.7254170663862138,0.0,0.7643567072307647
100,100,8,7,3,False,24.59690026351905,True,31.601539180784258,180.0,25.2,0.7437183178741817,0.0,0.11270010061520663
100,100,8,8,0,False,19.81640981615233,True,24.66874625884043,180.0,17.7,0.7549926734771097,0.0,0.16447846288040494
100,100,8,9,1,False,25.373536929083755,True,32.5462023651801,180.0,19.8,0.7414276838884215,0.0,0.2434981295536031
100,100,8,10,2,False,5.5273301632799114,True,2.429783732093809,180.0,25.8,0.7454075692674536,0.0,0.8278567235800085
100,100,8,11,3,False,12.033235410338616,True,26.02995514089555,180.0,24.0,0.7296923852828712,0.0,0.04057479434420205
100,100,8,12,0,False,23.226608525868443,True,21.128777518160955,180.0,16.8,0.7483685757407516,0.0,0.11412910727420222
100,100,8,13,1,False,22.138180598308146,True,31.967498007933347,180.0,18.0,0.7374593911634156,0.0,0.2795316668784932
100,100,8,14,2,False,5.610051823064782,True,2.7517810455771876,180.0,8.4,0.746718271521774,0.0,0.506485818838082
100,100,8,15,3,False,21.344406150409228,True,19.623189841287527,180.0,10.8,0.7379598368763274,0.0,0.290015277401468
100,100,8,16,0,False,25.393735383670546,True,34.63681514120846,180.0,23.7,0.7293894504606303,0.0,0.18747706940662365
100,100,8,17,1,False,16.100398403947246,True,15.12860877441623,0.0,28.8,0.7415337769014865,0.0,0.31121839746299423
100,100,8,18,2,False,5.121048561742818,True,3.175471135154339,0.0,13.2,0.7761485315365484,0.0,0.6121673557998649
100,100,8,19,3,False,14.911718807678286,True,19.278269544278373,0.0,23.4,0.7354969304317227,0.0,0.0965767942262913
100,100,8,20,0,False,23.77222974899602,True,27.332810498510362,0.0,15.0,0.7429648693995063,0.0,0.2913298302959404
100,100,8,21,1,False,20.61626405150387,True,18.756739547839892,180.0,16.2,0.7375728775696149,0.0,0.07314010347943246
100,100,8,22,2,False,4.685831702943295,True,2.505227143823688,180.0,8.4,0.7466710806920751,0.0,0.5405456281083366
100,100,8,23,3,False,19.844250272035758,True,23.478555121557207,180.0,19.2,0.7464492860882176,0.0,0.10025070224052775
100,100,8,24,0,False,20.421931974934946,True,19.676893524806005,180.0,18.0,0.7328660604833245,0.0,0.04450721298711922
100,100,8,25,1,False,23.689436340872106,True,34.94142964863767,180.0,22.2,0.7353854317066872,0.0,0.22298058916205554
100,100,8,26,2,False,5.92264011767509,True,2.2057377294668408,180.0,18.9,0.730054068890405,0.0,0.7909821719781118
100,100,8,27,3,False,17.886746537066685,True,16.061486633882428,180.0,19.2,0.7338778835377406,0.0,0.08900683623171188
100,100,8,28,0,False,17.202795607323935,True,19.142637696373033,0.0,15.0,0.7458667996451975,0.0,0.12133326467629568
100,100,8,29,1,False,17.577195498759295,True,20.800658235058172,180.0,30.6,0.7409292256590165,0.0,0.1906462310289843
100,100,8,30,2,False,4.897763617889179,True,2.4094963153674094,180.0,13.8,0.7264957686495124,0.0,0.7027055907815937
100,100,8,31,3,False,20.787795489481443,True,23.177509347147843,0.0,15.3,0.7638747203458078,0.0,0.20473023022503123
100,100,8,32,0,False,17.16255230934607,True,22.854223883279648,180.0,15.6,0.7514186614280567,0.0,0.1886456974214218
100,100,8,33,1,False,31.293803941325564,True,25.6558305153079,0.0,21.3,0.7443818627601151,0.0,0.09276442280961457
100,100,8,34,2,False,5.983551110982772,True,2.817772569501286,180.0,6.6,0.7413898119835991,0.0,0.40160530555887486
100,100,8,35,3,False,14.72983718836547,True,31.243891980513347,180.0,22.2,0.747342656326679,0.0,0.16922218134476433
100,100,8,36,0,True,21.84537502774461,True,21.84537502774461,180.0,18.0,0.7521845316982978,0.0,0.096507437188316
100,100,8,37,1,False,25.805487622657154,True,45.31153682457975,180.0,25.2,0.733107085193581,0.0,0.28522335110331204
100,100,8,38,2,False,5.410678622185643,True,2.5353019685131035,180.0,23.1,0.762220311398695,0.0,0.8022022934102957
100,100,8,39,3,False,21.170158105627877,True,29.628656339848476,0.0,8.4,0.7528797298210823,0.0,0.5582278834697645
100,100,8,40,0,False,20.494900281471672,True,46.738116074603425,0.0,24.6,0.7125973487065245,0.0,0.3103266148971605
100,100,8,41,1,False,11.918090805923672,True,7.337162222344357,0.0,27.3,0.7331975807078707,0.0,0.5763416081678893
100,100,8,42,2,False,6.22903009088939,True,2.8456104657932784,180.0,9.0,0.7434139785684434,0.0,0.5195502208963292
100,100,8,43,3,False,12.029830893414097,True,25.31483245140675,180.0,21.0,0.7548817630203123,0.0,0.0931630802275822
100,100,8,44,0,False,20.309209620015658,True,42.58895179774116,0.0,22.8,0.7368829861616076,0.0,0.30263448569907336
100,100,8,45,1,False,26.173283808998193,True,20.490108524322345,0.0,32.1,0.7248364421028095,0.0,0.22076188472374292
100,100,8,46,2,False,6.042530271714245,True,2.387544924143976,0.0,23.4,0.7523453321872912,0.0,0.8148296062143284
100,100,8,47,3,False,10.686592391657314,True,18.918197020772574,180.0,13.8,0.7437300342644262,0.0,0.1564327342826201
100,100,8,48,0,False,21.663035094772678,True,29.748106046859714,0.0,13.2,0.7296494813225056,0.0,0.38530467510641603
100,100,8,49,1,False,15.994411687542447,True,12.795944698113663,180.0,15.6,0.7289794961865164,0.0,0.09874844213451135
300,16,4,0,0,False,31.49154992614494,True,37.89098285507285,180.0,18.0,0.5035772547360606,0.0,0.355888943778556
300,16,4,1,1,False,25.759824242915066,True,20.793614569378995,180.0,14.4,0.43771821340781714,0.0,0.18166973320562924
300,16,4,2,2,False,10.058862088217978,True,31.514426976872777,180.0,10.8,0.49181222740912944,0.0,0.4895358027215026
300,16,4,3,3,False,11.173338293576808,True,15.153827066248109,0.0,22.2,0.4612465862080253,0.0,0.18863322682402614
300,16,4,4,0,True,23.199724970959714,True,23.199724970959714,180.0,18.6,0.47510668897794983,0.0,0.11004199128449671
300,16,4,5,1,False,27.028046764993995,True,46.49091362413475,180.0,14.4,0.4500051280048021,0.0,0.5270230271493657
300,16,4,6,2,False,15.571503628779656,True,46.85266160826559,180.0,14.4,0.46867005128130734,0.0,0.5298163501165044
300,16,4,7,3,False,11.199476421580194,True,14.189984112020586,0.0,6.0,0.47735542032799994,0.0,0.40564589187090644
300,16,4,8,0,False,25.64617335778643,True,20.09762340090119,180.0,13.8,0.4697595610125924,0.0,0.18578362637408918
300,16,4,9,1,False,25.835342646255384,True,62.93593168513618,180.0,16.8,0.5035017076890719,0.0,0.5786090500235375
300,16,4,10,2,False,10.940848339093604,True,21.68777958161964,180.0,16.2,0.4961010016118219,0.0,0.14484299798522432
300,16,4,11,3,False,14.615067314039567,True,12.8370529902103,180.0,16.8,0.4959202401114261,0.0,0.1337159605945088
300,16,4,12,0,False,22.40727583777958,True,34.06862303037862,180.0,20.1,0.49178273075037005,0.0,0.2578729576071927
300,16,4,13,1,True,6.100502612710859,True,6.100502612710859,180.0,1.2,0.41936152483688793,0.0,0.6712555111084405
300,16,4,14,2,False,13.920032007506391,True,30.46752035795999,180.0,19.2,0.4807090966301675,0.0,0.22685892665329147
300,16,4,15,3,False,17.79030621329875,True,10.35813354590115,0.0,16.8,0.4679355108992508,0.0,0.23719842319750914
300,16,4,16,0,True,28.159934301682597,True,28.159934301682597,0.0,15.6,0.48929309014472844,0.0,0.2870190392669524
300,16,4,17,1,False,21.232163649745836,True,67.38618229470696,0.0,15.6,0.4486020653076268,0.0,0.6240337952978419
300,16,4,18,2,True,8.383752138858604,True,8.383752138858604,180.0,10.8,0.4843163395907033,0.0,0.12595282943811864
300,16,4,19,3,True,18.974832373089864,True,18.974832373089864,180.0,13.2,0.49410096724768426,0.0,0.17948290471598
300,16,4,20,0,False,33.60578248493853,True,36.24170628072533,180.0,9.6,0.47125804106902636,0.0,0.5811674224671917
300,16,4,21,1,False,21.406492273373633,True,20.125710715365862,180.0,18.6,0.5015784040027207,0.0,0.03939787513716407
300,16,4,22,2,False,13.231822075432966,True,60.51130045848866,180.0,16.8,0.4860931091508709,0.0,0.5653934185456156
300,16,4,23,3,False,14.497625082020011,True,22.45894353128765,180.0,18.6,0.4758803906162399,0.0,0.09398545601490373
300,16,4,24,0,True,40.288192880777245,True,40.288192880777245,180.0,16.2,0.4886461096338103,0.0,0.4264288102041894
300,16,4,25,1,False,28.66096456098258,True,19.369871383369812,0.0,5.4,0.45872282995099856,0.0,0.5639864320285738
300,16,4,26,2,False,17.25426181918087,True,25.912641235366845,0.0,13.8,0.45502077826919496,0.0,0.30500719313902497
300,16,4,27,3,False,15.471103537465977,True,9.386522787125,180.0,19.8,0.4895130541144783,0.0,0.35679060807589597
300,16,4,28,0,False,26.719318577338548,True,17.042231818219378,180.0,13.8,0.44942616285290415,0.0,0.10512312589173871
300,16,4,29,1,False,26.22399961022942,True,42.716502341887335,180.0,18.0,0.4711835398145605,0.0,0.4070804705230049
300,16,4,30,2,False,15.191608168293753,True,16.63520786276435,0.0,11.4,0.46603160353532513,0.0,0.18673690198312906
300,16,4,31,3,False,18.90360653757117,True,36.94592311195667,0.0,18.6,0.5093362682989446,0.0,0.3302838819501866
300,16,4,32,0,False,33.269923865317026,True,30.227103718427863,180.0,15.0,0.4613962809441404,0.0,0.3366809383416229
300,16,4,33,1,False,30.96232446196951,True,44.94218176572443,180.0,10.8,0.4872345311509265,0.0,0.6125017120635387
300,16,4,34,2,False,7.4091189223895615,True,27.17090760695305,180.0,3.0,0.42870495272917974,0.0,0.8011329298327976
300,16,4,35,3,False,25.43716324984353,True,48.4205610597733,0.0,21.6,0.4685463804624205,0.0,0.38303836264378865
300,16,4,36,0,False,22.92480553052256,True,31.439009390390826,180.0,18.0,0.4439139251505272,0.0,0.2718300701424593
300,16,4,37,1,False,20.053495664848313,True,46.19864807786281,180.0,17.4,0.4805210753453366,0.0,0.45281855744102933
300,16,4,38,2,False,14.957373239288126,True,26.333597960654153,180.0,19.8,0.4734771308993466,0.0,0.14162342087890656
300,16,4,39,3,False,18.802926545415765,True,15.100809267456981,0.0,14.4,0.4428010271565176,0.0,0.023755594672031043
300,16,4,40,0,False,25.17308218927603,True,43.14204037014568,180.0,13.8,0.4467191528174975,0.0,0.5152966100153654
300,16,4,41,1,False,30.709954152819122,True,24.777492453171348,0.0,19.2,0.4849522381428081,0.0,0.12682606810967587
300,16,4,42,2,False,9.352642297038509,True,23.634756808656785,180.0,19.2,0.49202354132039483,0.0,0.10353173775344467
300,16,4,43,3,False,15.262864710749685,True,8.332269398145964,180.0,14.1,0.4568550315533554,0.0,0.25711757020469045
300,16,4,44,0,False,28.412660922851362,True,25.915531033136034,0.0,22.8,0.4906107177539588,0.0,0.06395354760703463
300,16,4,45,1,False,29.79766777720793,True,36.767090086129386,0.0,1.2,0.4767848072036647,0.0,0.9367873599306868
300,16,4,46,2,False,15.443750471716381,True,57.67477633749033,0.0,15.0,0.47896819540258917,0.0,0.5872020319575062
300,16,4,47,3,False,12.833159321311326,True,11.362295193845576,180.0,17.4,0.4552372856781296,0.0,0.20991735066488548
300,16,4,48,0,False,21.604896375110094,True,13.33654576962028,180.0,17.4,0.5162128791640684,0.0,0.13220269645207758
300,16,4,49,1,False,43.608262744711496,True,58.90767833773951,0.0,10.8,0.5028993675235494,0.0,0.6901345660170288
300,289,8,0,0,False,43.30925218416576,True,55.532977127567285,180.0,4.2,0.7639917054943312,0.0,0.8593741614092549
300,289,8,1,1,False,37.712807478526884,True,41.766687619287936,0.0,21.0,0.748630382097614,0.0,0.3308552419591652
